ASIN,商品主图,商品标题,商品详情页链接,小类目,月销量,毛利率,价格($)
B0FCRT7SNL,https://m.media-amazon.com/images/I/71oxWpwUHlL._AC_US600_.jpg,MAKABO Kaftan Dresses for Women Caftans Moo Moos V Neck Beach Swimsuit Cover Up Boho Hawaii Maxi Dress,https://www.amazon.com/dp/B0FCRT7SNL,Women's Swimwear Cover Ups,500,0.57,17.99
B0FG7VTH5G,https://m.media-amazon.com/images/I/71stq4NPspL._AC_US600_.jpg,CBOO Women's Satin Button Down Shirts V-Neck Long Sleeve Tops Summer Business Office Silk Blouses Fashion Spring Shirt 2025,https://www.amazon.com/dp/B0FG7VTH5G,Women's Button-Down Shirts,499,0.62,19.99
B0FDQMYTP1,https://m.media-amazon.com/images/I/71y+sRZc-NL._AC_US600_.jpg,Womens Western Wide Waist Belt for Dress Vintage Stretchy Elastic Belt with Chunky Gold Buckle,https://www.amazon.com/dp/B0FDQMYTP1,Women's Belts,497,0.51,12.34
B0FPM46YWV,https://m.media-amazon.com/images/I/615a7qw3M4L._AC_US600_.jpg,TITOMD Women's Bell Long Sleeve Shirts 2026 Spring Boat Neck Crop Going Out Trendy Tops Ribbed Ruched Y2K Clothes,https://www.amazon.com/dp/B0FPM46YWV,Women's T-Shirts,496,0.54,19.99
B0FX36TVV3,https://m.media-amazon.com/images/I/81PbHlQhbcL._AC_US600_.jpg,LOMON Womens Short Sleeve Sweater Spring Square Neck Knit Tops Summer Fahshion Business Casual Tops,https://www.amazon.com/dp/B0FX36TVV3,Women's Pullover Sweaters,496,0.62,19.98
B0FGJTJ88V,https://m.media-amazon.com/images/I/81Q8s+UJ1CL._AC_US600_.jpg,80s 90s Outfits for Women Retro 80's Disco Party Shirt Button Down Short Sleeve Tshirt 90's Blouse Hawaiian Tops,https://www.amazon.com/dp/B0FGJTJ88V,Women's Novelty Blouses & Button-Down Shirts,496,0.54,16.99
B0FGJ3TDRK,https://m.media-amazon.com/images/I/71qZo6JG8wL._AC_US600_.jpg,Dokotoo Sweaters for Women Long Sleeve Wool Blend Crewneck Diamond Hollow Out Lightweight Soft Fall Pullover Sweater Tops,https://www.amazon.com/dp/B0FGJ3TDRK,Women's Pullover Sweaters,495,0.62,19.18
B0FTFFVSHX,https://m.media-amazon.com/images/I/81ZCB4KEK3L._AC_US600_.jpg,Zenlonr Womens Dressy Casual Tops 2026 Summer Ruffle Cap Sleeve V Neck Shirts Boho Floral Blouses Vacation Outfits,https://www.amazon.com/dp/B0FTFFVSHX,Women's Button-Down Shirts,494,0.62,19.99
B0FSZNSK8J,https://m.media-amazon.com/images/I/71ZZyo2uCFL._AC_US600_.jpg,Womens Plus Size Tops Summer Short Sleeve Casual Loose Tunic V Neck Tee T Shirts 1X-5X,https://www.amazon.com/dp/B0FSZNSK8J,Women's T-Shirts,494,0.53,13.99
B0G3B3JJKK,https://m.media-amazon.com/images/I/81A5MfcSCvL._AC_US600_.jpg,Totatuit Womens Oversized Tee Shirts Short Sleeve V Neck Blouse Side Slit Basic Tshirts Loose Fit Tunic Tops,https://www.amazon.com/dp/B0G3B3JJKK,Women's T-Shirts,492,0.52,9.98
